Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Brewster,Gordon Setter,POINT (-71.1145 42.3842),42.38420,-71.11450,Baldwin
Oliver Cuyama Albano,Maltese,POINT (-71.1078 42.3711),42.37110,-71.10780,Mid-Cambridge
Ness,Mixed Breed,POINT (-71.1193 42.3802),42.38020,-71.11930,Neighborhood Nine
Lila,Australian Cattle Dog,POINT (-71.1075 42.3695),42.36950,-71.10750,Mid-Cambridge
Possum,Mixed Breed,POINT (-71.1291 42.4004),42.40040,-71.12910,North Cambridge
MURPHY,Mixed Breed,POINT (-71.0968 42.3641),42.36410,-71.09680,The Port
Berklee,Goldendoodle,POINT (-71.0859 42.37),42.37000,-71.08590,East Cambridge
Mookie,HAVANESE,POINT (-71.1047 42.3756),42.37560,-71.10470,Mid-Cambridge
Midna,Mixed Breed,POINT (-71.0839 42.3679),42.36790,-71.08390,East Cambridge
Hurley,Goldendoodle,POINT (-71.1033 42.3673),42.36730,-71.10330,The Port
Ginger,Mixed Breed,POINT (-71.1436 42.3802),42.38020,-71.14360,West Cambridge
Lottie,Mixed Breed,POINT (-71.1144 42.3647),42.36470,-71.11440,Riverside
Maverick,Mixed Breed,POINT (-71.1434 42.3925),42.39250,-71.14340,North Cambridge
Bao,Mixed,POINT (-71.106 42.367),42.36700,-71.10600,Riverside
LUCY,LABRADOR RETREIVER,POINT (-71.1223 42.3906),42.39060,-71.12230,North Cambridge
Schneizel,Shiba Inu,POINT (-71.1435 42.3925),42.39250,-71.14350,North Cambridge
Brady,Pit Bull,POINT (-71.1488 42.3762),42.37620,-71.14880,Strawberry Hill
Rosie Flynn,Goldendoodle,POINT (-71.1402 42.3844),42.38440,-71.14020,West Cambridge
Willow,Mixed Breed,POINT (-71.1489 42.3961),42.39610,-71.14890,North Cambridge
Rocky,Miniature Schnauzer,POINT (-71.1146 42.3861),42.38610,-71.11460,Baldwin
Mischa,Coton de Tulear,POINT (-71.1278 42.374),42.37400,-71.12780,West Cambridge
Walter,Havanese,POINT (-71.0958 42.3718),42.37180,-71.09580,Wellington-Harrington
Bailey,Mixed Breed,POINT (-71.1444 42.3916),42.39160,-71.14440,North Cambridge
Max,Maltese,POINT (-71.0749 42.3701),42.37010,-71.07490,East Cambridge
Zelda,Australian  Shepherd,POINT (-71.1308 42.3816),42.38160,-71.13080,West Cambridge
Colby,Cocker Spaniel,POINT (-71.1062 42.3699),42.36990,-71.10620,Mid-Cambridge
Rufus,Black and Tan Coonhound,POINT (-71.1044 42.3607),42.36070,-71.10440,Cambridgeport
Riley,Toy Poodle Mix,POINT (-71.1053 42.3682),42.36820,-71.10530,Mid-Cambridge
Tucker,Mixed Breed,POINT (-71.131 42.3847),42.38470,-71.13100,Neighborhood Nine
Rudy,Pom/Chihuahua Mix,POINT (-71.1076 42.3682),42.36820,-71.10760,Riverside
MORRISON,Shih Tzu,POINT (-71.1224 42.3798),42.37980,-71.12240,Neighborhood Nine
Maude,Mixed Breed,POINT (-71.1352 42.381),42.38100,-71.13520,West Cambridge
Thor,Golden Retriever,POINT (-71.1072 42.3594),42.35940,-71.10720,Cambridgeport
CRICKET,Mixed Breed,POINT (-71.1472 42.3798),42.37980,-71.14720,West Cambridge
Milo,Mixed Breed,POINT (-71.1156 42.3819),42.38190,-71.11560,Baldwin
TUXEDO,Labrador Retriever X,POINT (-71.1507 42.3764),42.37640,-71.15070,Strawberry Hill
Bootsy,Border collie,POINT (-71.1378 42.3842),42.38420,-71.13780,Neighborhood Nine
Matilda,Shiba Inu,POINT (-71.1044 42.3692),42.36920,-71.10440,Mid-Cambridge
